Code,Server,Service Tier,CMS,Branch,Primary Domain,Admin Link,Web Dir
OurLady-Ankeny,yale,Medium,3,dalaran,www.olih.org,https://ourlady-ankeny.solutiosoftware.com/administrator,desmoines/ourlady-ankeny
OurLady-Aurora,yale,,3,dalaran,www.ourladyofgoodcounsel.net,https://ourlady-aurora.solutiosoftware.com/administrator,rockford/ourlady-aurora
OurLady-Canton,valinor,Medium,3,dalaran,www.ollcanton.com,https://ourlady-canton.solutiosoftware.com/administrator,atlanta/ourlady-canton
OurLady-Centerport,wold,,3,dalaran,www.olqmparish.org,https://ourlady-centerport.solutiosoftware.com/administrator,rc/ourlady-centerport
OurLady-Haines,thalos,,3,dalaran,ourladyqop.org,https://ourlady-haines.solutiosoftware.com/administrator,trenton/ourlady-haines
OurLady-Harrison,wold,,3,dalaran,ourladyoflourdesharrisonville.org,https://ourlady-harrison.solutiosoftware.com/administrator,kcm/ourlady-harrison
OurLady-Kenosha,underhill,,3,dalaran,hrosarykenosha.org,https://ourlady-kenosha.solutiosoftware.com/administrator,milwaukee/ourlady-kenosha
OurLady-Mass,wold,,3,dalaran,ourladyoflourdesmp.org,https://ourlady-mass.solutiosoftware.com/administrator,rc/ourlady-mass
OurLady-Monroe,yale,,3,dalaran,ourladymonroe.org,https://ourlady-monroe.solutiosoftware.com/administrator,charlotte/ourlady-monroe
OurLady-Morrow,wold,,3,dalaran,www.olohparishfamily.org,https://ourlady-morrow.solutiosoftware.com/administrator,cincinnati/ourlady-morrow
OurLady-Springs,underhill,,3,dalaran,olphgoodland.com,https://ourlady-springs.solutiosoftware.com/administrator,salina/ourlady-springs
Papillion,valinor,,3,dalaran,www.saintcolumbkille.org,https://papillion.solutiosoftware.com/administrator,omaha/papillion
Peoria-Franciscans,wold,Tiny,3,dalaran,www.sistersofjohnthebaptist.com,https://peoria-franciscans.solutiosoftware.com/administrator,nra/peoria-franciscans
PerryHomes,underhill,Tiny,3,dalaran,www.pfcustomhomes.com,https://perryhomes.solutiosoftware.com/administrator,nra/perryhomes
Phillipsburg,wold,,3,dalaran,phillipsburgcatholic.org,https://phillipsburg.solutiosoftware.com/administrator,salina/phillipsburg
Pokes,yale,,3,dalaran,catholicpokes.com,https://pokes.solutiosoftware.com/administrator,tulsa/pokes
PoorClares,valinor,Medium,3,dalaran,www.olamnuns.com,https://poorclares.solutiosoftware.com/administrator,birmingham/poorclares
PoP-GB,zelda,,3,dalaran,greatbendcatholic.com,https://pop-gb.solutiosoftware.com/administrator,dodgecity/pop-gb
Pop-Plano,yale,,3,dalaran,www.popplano.org,https://pop-plano.solutiosoftware.com/administrator,dallas/pop-plano
Pratt,thalos,,3,dalaran,sacredheartpratt.com,https://pratt.solutiosoftware.com/administrator,dodgecity/pratt
Progressions,thalos,Medium,3,dalaran,www.progressionssalonanddayspa.com,https://progressions.solutiosoftware.com/administrator,nra/progressions
